time1,Diode,time2,PCD3_B
-3.69e-06,-0.008,-3.69e-06,5.00240008
-3.69e-06,0.008,-3.69e-06,5.00240008
-3.68e-06,0.0,-3.68e-06,4.999200078
-3.68e-06,-0.008,-3.68e-06,5.00160008
-3.68e-06,-0.008,-3.68e-06,5.000000078
-3.68e-06,0.004,-3.68e-06,4.99840008
-3.68e-06,0.008,-3.68e-06,5.000800078
-3.68e-06,-0.004,-3.68e-06,4.99520008
-3.68e-06,-0.012,-3.68e-06,4.99840008
-3.68e-06,0.0,-3.68e-06,5.000800078
-3.68e-06,-0.004,-3.68e-06,4.99120008
-3.68e-06,0.0,-3.68e-06,5.000800078
-3.68e-06,0.0,-3.68e-06,4.99760008
-3.68e-06,-0.004,-3.68e-06,5.000000078
-3.67e-06,-0.008,-3.67e-06,5.00160008
-3.67e-06,0.0,-3.67e-06,5.000000078
-3.67e-06,-0.004,-3.67e-06,4.99280008
-3.67e-06,-0.008,-3.67e-06,4.99680008
-3.67e-06,0.008,-3.67e-06,5.000800078
-3.67e-06,0.0,-3.67e-06,4.99760008
-3.67e-06,0.008,-3.67e-06,4.99840008
-3.67e-06,-0.004,-3.67e-06,4.99040008
-3.67e-06,0.0,-3.67e-06,5.000800078
-3.67e-06,0.008,-3.67e-06,4.99600008
-3.67e-06,0.004,-3.67e-06,4.99600008
-3.67e-06,0.004,-3.67e-06,4.99840008
-3.67e-06,0.012,-3.67e-06,4.999200078
-3.66e-06,0.008,-3.66e-06,4.99520008
-3.66e-06,0.016,-3.66e-06,5.000000078
-3.66e-06,0.0,-3.66e-06,4.99680008
-3.66e-06,0.0,-3.66e-06,4.99280008
-3.66e-06,0.0,-3.66e-06,4.99760008
-3.66e-06,0.004,-3.66e-06,5.00160008
-3.66e-06,0.012,-3.66e-06,4.99600008
-3.66e-06,0.004,-3.66e-06,5.000800078
-3.66e-06,0.016,-3.66e-06,5.000800078
-3.66e-06,0.008,-3.66e-06,4.99680008
-3.66e-06,-0.016,-3.66e-06,5.000000078
-3.66e-06,-0.004,-3.66e-06,5.00720008
-3.65e-06,0.004,-3.65e-06,5.00160008
-3.65e-06,0.004,-3.65e-06,5.00160008
-3.65e-06,0.008,-3.65e-06,5.000000078
-3.65e-06,0.008,-3.65e-06,5.00560008
-3.65e-06,-0.02,-3.65e-06,5.000000078
-3.65e-06,-0.016,-3.65e-06,4.999200078
-3.65e-06,-0.004,-3.65e-06,4.99600008
-3.65e-06,-0.004,-3.65e-06,4.99200008
-3.65e-06,-0.008,-3.65e-06,4.99520008
-3.65e-06,-0.008,-3.65e-06,5.000800078
-3.65e-06,0.012,-3.65e-06,4.99840008
-3.65e-06,-0.004,-3.65e-06,5.00640008
-3.65e-06,0.0,-3.65e-06,4.99440008
-3.64e-06,0.008,-3.64e-06,4.99440008
-3.64e-06,0.008,-3.64e-06,5.000000078
-3.64e-06,0.016,-3.64e-06,5.000000078
-3.64e-06,0.008,-3.64e-06,4.99200008
-3.64e-06,0.004,-3.64e-06,4.99520008
-3.64e-06,0.008,-3.64e-06,5.00160008
-3.64e-06,-0.004,-3.64e-06,4.99760008
-3.64e-06,-0.008,-3.64e-06,5.00240008
-3.64e-06,0.004,-3.64e-06,4.999200078
-3.64e-06,-0.012,-3.64e-06,5.00240008
-3.64e-06,0.0,-3.64e-06,4.99280008
-3.64e-06,0.0,-3.64e-06,4.999200078
-3.63e-06,0.0,-3.63e-06,4.999200078
-3.63e-06,0.0,-3.63e-06,4.99760008
-3.63e-06,0.008,-3.63e-06,5.000000078
-3.63e-06,-0.004,-3.63e-06,4.99520008
-3.63e-06,0.012,-3.63e-06,4.99360008
-3.63e-06,0.004,-3.63e-06,4.99520008
-3.63e-06,-0.008,-3.63e-06,4.999200078
-3.63e-06,-0.004,-3.63e-06,5.000800078
-3.63e-06,0.032,-3.63e-06,5.00240008
-3.63e-06,0.004,-3.63e-06,4.99680008
-3.63e-06,0.012,-3.63e-06,4.99840008
-3.63e-06,-0.004,-3.63e-06,4.99440008
-3.63e-06,0.004,-3.63e-06,5.00320008
-3.62e-06,0.0,-3.62e-06,4.99600008
-3.62e-06,0.012,-3.62e-06,4.99520008
-3.62e-06,0.004,-3.62e-06,4.99440008
-3.62e-06,0.008,-3.62e-06,4.99520008
-3.62e-06,-0.004,-3.62e-06,5.000800078
-3.62e-06,0.004,-3.62e-06,4.99680008
-3.62e-06,0.008,-3.62e-06,5.000800078
-3.62e-06,0.0,-3.62e-06,5.00160008
-3.62e-06,0.0,-3.62e-06,4.99840008
-3.62e-06,0.012,-3.62e-06,4.999200078
-3.62e-06,0.0,-3.62e-06,4.999200078
